,Unnamed: 0,Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills,Extracted Skills,Hard Skill,Soft Skill
686,686,Cloud Security Consultant,3729432731,Accenture Southeast Asia,"Singapore, Singapore (Remote)",0,Mid-Senior level,Full-time,Project Management:General Business:Management,Business Consulting and Services,team cybersecurity team offer services enable mission resilience offering deep cyber expertise advanced analytics continuous monitoring secure cloud services working closely clients design build implement information security strategies solutions help enhance business performance role cloud security solutioning devise implementation plans formulate cloud security architecture designs join implementation teams implementing solutions devised one cloud service providers csps multicloud security implementation follow implementation plans designs implement various components cloud secure client’s cloud tenants includes limited cloud firewalls network segmentation rules cloud api gateway security policies cloud web application firewall workload security solutions vms containers functions directory services authentication authorization key management devsecops toolsets security analytics third party cloud security platforms implementation get acquainted leading cloud security platforms solutions attend trainings follow implementation plans designs examples include cloud security posture management container security management endpoint security management third party nextgeneration firewalls devsecops scanners testers sast dast va carry design implementation assessments thread modeling required established standards best practices ie stride pci dss csa ccm right profile experience architecting developing security solutions one cloud platform aws gcp azure applying cloud native security services understand identity concepts saml jwt oauth etc solid understanding security concepts tools certificates dlp waf siem firewalls ddos prevention idsips privileged access management encryption ssl vpn ipsec tcpip dns web security architecture etc deep understanding security frameworks processes cis nist pcidss sociii etc ability document risks security controls evidence ensure compliance good written oral communication skills ability adapt style language depending audience,22-Sep-2023,Adaptation:Chronic Care Management (CCM):Firewalls:Implementation Plans:Key Management:Payment Card Industry Data Security Standard (PCI DSS):Payment Industry:Security Controls:Vulnerability Assessment:Web Application Firewalls,"DevSecOps,API Gateway,Microsoft Azure,Cloud-Native Computing,Distributed Denial-Of-Service (DDoS) Attacks,Cloud Services,Multi-Cloud,Virtual Private Networks (VPN),Authorization (Computing),Security Strategies,Directory Service,Endpoint Security,Verbal Communication Skills,TCP/IP,Container Security,Static Application Security Testing (SAST),Resilience,Encryption,Dynamic Application Security Testing (DAST),Security Controls,Application Firewall,Privileged Access Management,Cloud Security,Internet Protocol Security (IP SEC),Payment Card Industry (PCI) Data Security Standards,Key Management,Security Information And Event Management (SIEM),Cyber Security,JSON Web Token (JWT),Cloud Security Architecture,Firewall,Authentications,Network Segmentation,IT Security Architecture,OAuth,Advanced Analytics,Continuous Monitoring,Security Policies,Security Implementation,Security Assertion Markup Language (SAML),Amazon Web Services,Management","DevSecOps,API Gateway,Microsoft Azure,Cloud-Native Computing,Distributed Denial-Of-Service (DDoS) Attacks,Cloud Services,Multi-Cloud,Virtual Private Networks (VPN),Authorization (Computing),Security Strategies,Directory Service,Endpoint Security,TCP/IP,Container Security,Static Application Security Testing (SAST),Resilience,Encryption,Dynamic Application Security Testing (DAST),Security Controls,Application Firewall,Privileged Access Management,Cloud Security,Internet Protocol Security (IP SEC),Payment Card Industry (PCI) Data Security Standards,Security Information And Event Management (SIEM),Cyber Security,JSON Web Token (JWT),Cloud Security Architecture,Firewall,Authentications,Network Segmentation,IT Security Architecture,OAuth,Advanced Analytics,Continuous Monitoring,Security Policies,Security Implementation,Security Assertion Markup Language (SAML),Amazon Web Services","Verbal Communication Skills,Key Management,Management"
690,690,Application Security Consultant (DevSecOps)| Contract,3721043327,Manpower Singapore,Singapore,6,Mid-Senior level,Contract,Information Technology,Staffing and Recruiting,job scope provide security consultancy technical guidance expertise solutionsadvise review application security design detect potential security issues issue propose drive remediation taskshelp application team developing implementing security test verification scripts testing validating security controlsissuesable engage execute security vulnerability scanning activities vaptsastdastmast activities etc triage security findingsdefine scope review results security tests reviews audits ensure security assurance achievedidentify assess cyber risks application networkperform threat modelling securitycritical applicationsrecommend drive cyber security solutions initiatives improve cyber security organisationdeliver security projects implementation security software poc devsecops tool create rulesscripts help identify latest security issuesensure clients compliance policiesprocedures met ongoing security reviews audits exercisesimprove devsecops implementation provide assistance developer understanding vulnerabilities reported tool job requirement bachelors degree computer science equivalentaround years experience devsecopsgood understanding application vulnerabilityshould able provide mitigation remediation steps engineering team fix vulnerabilitiesshould also know impact vulnerability calculate risk organization accordinglyable perform secure design review identify potential security risk devsecopsfamiliar gov standard security posture including planning running security compliance check security vulnerability scanningfamiliar im policiesfamiliar sso openid connectoidc security assertion markup multifactor authentication mfa framework cristina malabuyoc malijan ea license c personnel registration r please note response advertisement communications us pursuant advertisement constitute informed consent collection use andor disclosure personal data manpowergroup singapore purpose carrying business compliance relevant provisions personal data protection act learn manpowergroups global privacy policy please visit,15-Sep-2023,Cybersecurity:DevSecOps:OpenID Connect:OpenID Connect (OIDC):Remediation:Single Sign-On (SSO):Vulnerability:Vulnerability Assessment:Vulnerability Scanning,"DevSecOps,OpenID,Planning,Security Testing,Threat Modeling,Cyber Security,Multi-Factor Authentication,Single Sign-On (SSO),Informed Consent,Triage,Application Security,Security Software,Information Privacy,Vulnerability,Design Reviews,Computer Science,Vulnerability Scanning,Communications,Auditing,R (Programming Language)","DevSecOps,OpenID,Planning,Security Testing,Threat Modeling,Cyber Security,Multi-Factor Authentication,Single Sign-On (SSO),Informed Consent,Triage,Application Security,Security Software,Information Privacy,Vulnerability,Design Reviews,Computer Science,Vulnerability Scanning,Auditing,R (Programming Language)",Communications
691,691,"Agency Chief Information Security Officers (ACISO), xCybersecurity",3724797748,HTX (Home Team Science & Technology Agency),"Singapore, Singapore (Hybrid)",42,Mid-Senior level,Full-time,Information Technology,Government Administration:Government Relations Services:International Trade and Development,role isreporting group aciso cybersecurity coe agency chief information security officer aciso provides leadership agency mha departments’ family oversee infocomm security management heshe would ensure cybersecurity wellconsidered ict digitalisation matters ultimately safeguarding uplifting infocomm security capabilities agency heshe also required follow implement refine organisation wide policies globally accepted practices aligned regulatory requirements ministry family wholeofgovernment directions working onprovide leadership within information security sphere development cyber security strategies action plansformulate agency ict security strategy work plan alignment mha htx’s cybersecurity strategic directionsevaluate existing environment mha htx’s cybersecurity strategic directionsensure security governance compliance implementing cyber security risk assessment risk acceptance appropriate agency stakeholders review endorse develop risk management mitigation plansresponsible participate agency’s ministry level cybersecurity incidents ensure quick resolutiondevelop culture security awareness appropriate cybersecurity risk assessment risk acceptance across multiple stakeholderswork htx cybersecurity stakeholders plan design conduct security incident response workshops exercises tabletop exercises simulations drillsensure implement secure uptodate practices ict development life cycle security controls change management processes asset management looking fortertiary education cybersecurity information security information technology computer science related engineering fields proven work experience skillsetsgood interpersonal partner executive leadership skillsability work multifunctional multidisciplined teams formulate institute real time awareness security posture baselineat least years demonstrated management experience related information security solid grasp ict operations security policies business processes relationship themcertifications encouraged demonstrate continuous learning intake standard methodologies applicable role eg cissp cism cisa certificationsindividual possess following traitspositive attitude collaborative mindsethighly motivated keep abreast latest development cybersecurity technology acquire deep technical skills knowledgeexcellent communication presentation interpersonal skillspossess good leadership skillsgood planning skillsability work independently part team new hires appointed twoyear contract first instance assessed considered permanent tenure time based performance wish inform shortlisted candidates notified within weeks upon closing advertisement,20-Sep-2023,Business Process:Cybersecurity:Data Privacy:Information Security:Information Technology:Information and Communications Technology (ICT):Network Security:Policies & Procedures:Relationship Development:Security Policy,"Certified Information System Auditor (CISA),Cyber Security Assessment,Planning,Incident Response,Security Awareness,Business Process,Cyber Security Strategy,Security Controls,Security Management,Asset Management,Cyber Security,Security Strategies,Certified Information Systems Security Professional,Change Management,Communications,Presentations,Risk Management,Operations Security,Computer Science,Information Technology,Governance,Mitigation,Certified Information Security Manager,Management,Software Development Life Cycle,Leadership,Mental Health Act","Certified Information System Auditor (CISA),Cyber Security Assessment,Planning,Incident Response,Security Awareness,Business Process,Cyber Security Strategy,Security Controls,Security Management,Cyber Security,Security Strategies,Certified Information Systems Security Professional,Presentations,Operations Security,Computer Science,Information Technology,Governance,Mitigation,Certified Information Security Manager,Software Development Life Cycle,Mental Health Act","Asset Management,Change Management,Communications,Risk Management,Management,Leadership"
692,692,PM Asset Security Systems Program Administrator,3714138476,Entegris,"Singapore, Singapore (On-site)",6,Mid-Senior level,Full-time,Project Management:Information Technology,Semiconductor Manufacturing,company overview values work entegris lead inspire innovate define future everyone works global company shares background experiences perspectives leverage differences employees bring new ideas table every employee throughout company encouraged share input projects initiatives decision making process truly collaborative effort realize leaders every level organization put values core operate organization — it’s convenient lasting meaningful way want time energy spend positive impact life inside outside office entegris valuesdriven culture employees rally around core pace values people accountability creativity excellence entegris seeking pm assetsecurity systems program administrator responsible deployment core facilities asset management systems worldwide key manufacturing sitesmanagement training core facilities asset management systems worldwide key manufacturing sitesmanagement change policy systems oversightma facilities integration plans facility asset managementown sop work instructions policy related asset management systems role located singapore asia hub office key responsibilities core facilities fms management systems worldwide project planning deployment fms systems globallyfms systems must eqos aligned complianteamfms deployment common protocols globallysystem management moc change policy systems oversightpmcalspare part systems policies procedures establishfacility workbreakfix order management established priority planning functionality available globally resource utilization planning management change policy systems oversight management site facility changes notificationsdeploy year fema plans key sites manage risk facilities management international basis facilities integration plans facility asset management assist director global facilities special projects related facilities matters assisting monitoring strategic cost savings initiatives special assignments assisting data gathering tracking special project tasksmanagement facilities rationalization strategy aligned global operations manufacturing strategyincluding strategy planning operational leaders determine “best” fit current future business needs assist administrative duties global facilities team placing purchase order requisitions invoice matching managing facility requests preventative maintenance assignments duties prepare important site communications related facilities changes globally contractor coordination scheduling needed major projects requisite criteria skills associates degree least years experience fms system administrator combination education experience years experience change management data governance processes erp environment specifically using facility management systems like sappmpreferred knowledge sap master data including material master boms routingsprevious experience supporting multiple levels organization preferredcomputer skills proficient “super user” sappm enterprise systems ms office suite primarily outlook excelexperience dealing confidential documentation filing practicesexperience working well independently well accepting direction projectsexpertise ms office applicationsclear communication collaboration skills total rewards package goes beyond paycheck whether you’re looking build career improve health protect wealth offer generous benefits help achieve goals also take time away work recharge entegris committed providing equal opportunity employees applicants policy recruit hire train reward employees individual abilities achievements experience without regard race color religion sexual orientation age national origin disability marital military status,11-Sep-2023,FMS:Flexible Manufacturing Systems (FMS):SAP Enterprise Asset Management (EAM),"Communications,Order Management,Order Management Systems,SAP NetWeaver Data Management,Facility Management,Planning,Collaboration,Scheduling,Invoice Matching,Resource Utilization,Federal Emergency Management Agency (FEMA),Asset Management,Accountability,Project Planning,Change Management,Enterprise Application Software,Data Governance,Administrative Functions,Microsoft Office,Management,Coordinating,Operations,Creativity,Filing,Microsoft Outlook","Order Management Systems,SAP NetWeaver Data Management,Planning,Collaboration,Scheduling,Invoice Matching,Resource Utilization,Accountability,Enterprise Application Software,Data Governance,Administrative Functions,Microsoft Office,Coordinating,Operations,Creativity,Filing,Microsoft Outlook","Communications,Order Management,Facility Management,Federal Emergency Management Agency (FEMA),Asset Management,Project Planning,Change Management,Management"
693,693,Information Security Officer- contract,3678316391,Michael Page,"Singapore, Singapore (On-site)",6,Entry level,Contract,Information Technology:Engineering,Insurance:Financial Services:Capital Markets,good technology exposure growth opportunity client client local insurance company leading homegrown financial services company offering consumers better way financial freedom innovative technologyenabled solutions wide range products services provide consumers control financial wellbeing every stage lives job description key responsibility perform information business impact assessments security risk assessments business applications throughout development lifecycle sdlcagileiterative lifecyclereport information security issuesgaps appropriate recommendations mitigate andor remediate risk well assist corrective action plans provide subject matter expertise application development lifecycle assess security requirements controls ensure security controls implemented plannedpromote awareness information security policies standards best practices also program manager manage information security assessments operational kpikrisdrive improvement information security process standards policiesinterface risk internal audit external audit regulator andor provide timely support auditsestablish maintain relationships domain architects project managers smesdemonstrate good understanding singapore regulatory framework local laws information security technology risk data protection addition solid understanding iso nist csf mitre etcperform independent assessments technical security controls implemented within system determine overall effectiveness controls successful applicant successful canbdidate must good understanding information security control areas authenticationauthorization access controls entitlement cryptography encryption network applicationsystem security key management vulerablity management owasp sansknowledge sdlc agileiterative devopsdevsecops integration security assessment requiredexcellent written verbal communication skills exhibit strong influencingnegotiating skills attention detailswhats offer creative innovative workplaceopportunity learn growgood work culturecontact meenal sharma quote job ref jn,28-Jul-2023,DevSecOps:Information Security Management:Key Management:Key Performance Indicators:OWASP:Risk Assessment:Security:Security Audits:Security Controls:Security Risk,"Cryptography,Business Continuity Planning,Application Development,Project Management,Internal Auditing,External Auditing,Encryption,Program Management,Security Controls,Risk Analysis,Security Technology,Security Requirements Analysis,Key Management,Verbal Communication Skills,Information Privacy,Financial Services,NIST Cybersecurity Framework (CSF),Open Web Application Security Project (OWASP),Security Policies,Access Controls,Management,Systems Development Life Cycle,Innovation","Cryptography,Business Continuity Planning,Application Development,Internal Auditing,External Auditing,Encryption,Security Controls,Risk Analysis,Security Technology,Security Requirements Analysis,Information Privacy,Financial Services,NIST Cybersecurity Framework (CSF),Open Web Application Security Project (OWASP),Security Policies,Access Controls,Systems Development Life Cycle,Innovation","Project Management,Program Management,Key Management,Verbal Communication Skills,Management"
694,694,Information Security Officer,3724749866,Sing Investments & Finance Ltd 星金融發展有限公司,"Singapore, Singapore (On-site)",12,Mid-Senior level,Full-time,Information Technology,Financial Services,security infrastructure specialist company sing investments finance limited years lending experience financing arena singapore core activities include acceptance fixed saving deposits public well provision loans credit facilities individuals corporations particularly small medium enterprises smes singapore relationships built years earned us reputation one singapores trusted finance companies seeking dynamic individuals grow us continue building relationships valued customers looking dynamic experienced security infrastructure specialist join team instrumental driving company’s data security action plan ensure alignment company’s standards policies procedures regulatory requirements responsibilities review enhance current systems policies proceduresresponsible infrastructure setup maintenance operationsdevelop maintain support robust effective incident reporting tracking system includes reviewing monitoring reporting corrective improvement measuresmonitor advise operating effectiveness information security workflows controlsmonitor network usage ensure compliance security policiesprovide direct support users ensure cybersecurity addressed throughout engagement delivery lifecycle infrastructure security tooling choices secure storage processing deletion datadocument security breaches assess damagemanage daily backup operations ensuring critical file systems databases successfully backed upoversee annual bcp dr exercisesliaise closely suppliers vendors procurement hardware software servicesperform penetration tests neededkeep date developments security standards threatsimprove awareness information security among users developing training tools materials requirements degree holdermust possess relevant certification either certified information systems security professional cissp iso information security management systems certified information systems auditor cisa certified information security manager cismexperience managing financial sector security requirements best practices methodologies governance regulatory requirements including direct responsibility application infrastructure securitydisplay proficiency microsoft applications active directory vsphere management linux redhat solaris operating systems cisco networking systemsexperience domains cyber security operations incident response forensic investigation threat intelligence vulnerability managementgood knowledge information security cybersecurity risks controls processes workflows methodologies trendsability work independently assume responsibility project deliverablesstrong initiative proactively find solutions requirementsexperience application security security technologies tooling eg vulnerability scanners firewalls network application security security technologies system hardening idsips firewallexperience carrying security incident response penetration testing vulnerabilities scanning security assessmentcorporate rank remuneration commensurate experience,20-Sep-2023,Application Security:Cyber Threat Intelligence (CTI):ISO 27001:Incident Response:Penetration Testing:Security Incident Response:Security Operations:Solaris:Vulnerability:Vulnerability Management,"Infrastructure Security,Cyber Threat Intelligence,Certified Information System Auditor (CISA),VMware VSphere,Incident Response,Finance,Linux,Penetration Testing,Vulnerability Scanning,Hardening,Incident Reporting,Active Directory,Security Requirements Analysis,File Systems,Certified Information Systems Security Professional,Forensic Sciences,Application Security,Cyber Security,Cisco Networking,Cyber Operations,Firewall,Vulnerability,Credit Facilities,Operating Systems,Information Security Management Systems,Data Security,Solaris (Operating System),Certified Information Security Manager,Governance,Operations,Management,Loans,Auditing,Investments,Deposit Accounts,Procurement,Tooling,Workflow Management","Infrastructure Security,Cyber Threat Intelligence,Certified Information System Auditor (CISA),VMware VSphere,Incident Response,Finance,Linux,Penetration Testing,Vulnerability Scanning,Hardening,Incident Reporting,Active Directory,Security Requirements Analysis,File Systems,Certified Information Systems Security Professional,Forensic Sciences,Application Security,Cyber Security,Cisco Networking,Cyber Operations,Firewall,Vulnerability,Credit Facilities,Operating Systems,Information Security Management Systems,Data Security,Solaris (Operating System),Certified Information Security Manager,Governance,Operations,Loans,Auditing,Investments,Deposit Accounts,Procurement,Tooling","Management,Workflow Management"
695,695,Agency Chief Information Security Officer (ACISO),3671470454,GovTech Singapore,"Singapore, Singapore (Hybrid)",48,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,government technology agency govtech lead agency driving singapore’s smart nation initiatives public sector digital transformation centre excellence infocomm technology smart systems ict ss govtech develops singapore government’s capabilities data science artificial intelligence application development smart city technology digital infrastructure cybersecurity govtech offer purposeful career make lives better empower people master craft continuous robust learning development opportunities year round govtechies embody agile bold collaborative values deliver impactful solutions govtech aims transform delivery government digital services taking outsidein view putting citizens businesses heart everything play part singapore’s vision build smart nation embark meaningful journey build tech public good join us advance mission shape future us today learn govtech techgovsg support various agencies across government carrying ict delivery services appointment agency chief security information officers aciso ensure security wellconsidered ict digitalisation matters ultimately uplifting infocomm security capabilities agency aciso lead aspects infocomm security management planning recommending implementing strategies policies heshe also required follow implement refine organisation wide policies globally accepted practices aligned regulatory requirements wholeofgovernment directions looking leadership role next cybersecurity career role provides drivers seat highly visible exposure cybersecurity management working provide leadership within information security sphere development cyber security strategies action plansacquire executive level support formulate information security goals establish policies standards procedures line wholeofgovernment cyber security directionsprovide security governance compliance implementing cyber security risk assessment risk acceptance management executive level considering wholeofgovernment policies standards review endorse develop risk management mitigation plansprovide advisory appropriate cyber security solutions technologies deployeddevelop security awareness programmes defined processes threat incident managementplan design conduct security incident response workshops exercises tabletop exercises simulation drillsensure secure ict development life cycle security controls implementation asset managementalign needs strategic cyber security direction wholeofgovernment looking degree computer science information systems engineering related technology based educationgood interpersonal partner executive leadership skillsability work multifunctional multidisciplined teams formulate institute real time awareness security posture baselineat least years management experience related information security solid grasp ict operations security policies business processes relationship themcertifications encouraged demonstrate continuous learning intake standard methodologies applicable role eg cissp cism cisa certificationswe believe agile bold collaborative looking people identify valuessingaporeans govtech equal opportunity employer committed fostering inclusive workplace values diverse voices perspectives believe diversity foundation innovation employee benefits based total rewards approach offering holistic marketcompetitive suite perks include leave benefits meet worklife needs employee wellness programmes champion flexible work arrangements subject job role trust manage time deliver best wherever whatever works best learn life inside govtech gogovsggovtechcareers stay connected us social media gogovsgconnectwithgovtech,14-Sep-2023,CISA:Certified Information Security Manager (CISM):Data Privacy:Information Security:Information Technology:Information and Communications Technology (ICT):Network Security:Security Awareness:Security Controls:Security Management,"Systems Engineering,Certified Information System Auditor (CISA),Digital Transformation,Cyber Security Assessment,Smart Systems,Planning,Application Development,Data Science,Incident Response,Security Awareness,Cyber Security,Business Process,Cyber Security Strategy,Security Controls,Time Management,Security Management,Learning Development,Certified Information Systems Security Professional,Cyber Security Management,Artificial Intelligence,Risk Management,Operations Security,Computer Science,Governance,Mitigation,Management,Certified Information Security Manager,Leadership,Innovation,Agile Methodology,Software Development Life Cycle","Systems Engineering,Certified Information System Auditor (CISA),Digital Transformation,Cyber Security Assessment,Smart Systems,Planning,Application Development,Data Science,Incident Response,Security Awareness,Cyber Security,Business Process,Cyber Security Strategy,Security Controls,Security Management,Learning Development,Certified Information Systems Security Professional,Cyber Security Management,Artificial Intelligence,Operations Security,Computer Science,Governance,Mitigation,Certified Information Security Manager,Innovation,Agile Methodology,Software Development Life Cycle","Time Management,Risk Management,Management,Leadership"
697,697,Chief Information Security Officer (CISO),3726240046,Kerry Consulting,"Singapore, Singapore (Hybrid)",109,Director,Full-time,Information Technology,IT Services and IT Consulting,kerry consulting currently partnering exclusively singaporeincorporated organisation international presence hire chief information security officer ciso rolereporting group chief executive officer ciso play pivotal role defining executing robust information cyber security strategy tailored organisations requirements ciso lead team seasoned security professionals formulate enforce group security policies collaborating across markets ensure security measures aligned seamlessly business objectives key responsibilitiesstrategic leadershipdevelop comprehensive cyber security strategy adequately address risks tailored businesseffect supervises execution cyber security strategy across group including validating effectiveness adequacy group cyber defense posturegovernance compliancedevelop promulgate maintain policies standards practices information cyber security establish maintain efficient processes monitor compliance defined policies standards practicesmanage security audits assessments compliance initiativesrisk managementidentify assess prioritize cybersecurity risks vulnerabilitiesdevelop implement risk mitigation strategies incident response plans security awareness trainingdevelop execute employee security awareness training programpromote culture cybersecurity awareness vigilance throughout organizationeducate manage board audit risk committee group risk committee cyber security matters including sufficiency group cyber security strategy posture team managementrecruit train manage highperforming team cybersecurity professionalsfoster professional development growth within team requirementsa university degree computer science information systems equivalent preferably additional information cyber security related qualifications cissp cism cgeit giaca minimum years experience working senior information cyber security leadership rolefamiliarity relevant cybersecurity laws regulationsability collaborate effectively crossfunctional teamsexcellent interpersonal skills willingness perform handson technical workstrong leadership skills global stakeholder management proven exposure managing senior management board members applyif keen apply role find please reach chen yi due anticipated high volume applications regret shortlisted candidates notified reg r lic,28-Sep-2023,Business Continuity:Cyber Defense:Cybersecurity:Defining Requirements:Incident Response:Mitigation Strategies:Security Audits:Security Awareness:Security Policy:Vulnerability,"Business Objectives,Incident Response,Security Awareness,Cyber Security,Interpersonal Communications,Leadership,Audit Risk,Risk Mitigation,Stakeholder Management,Promulgation,Certified Information Systems Security Professional,Consulting,Cyber Security Strategy,Cyber Defense,Security Policies,Computer Science,Certified In The Governance Of Enterprise IT,Management,Certified Information Security Manager,Information Systems,Auditing,R (Programming Language)","Business Objectives,Incident Response,Security Awareness,Cyber Security,Interpersonal Communications,Audit Risk,Risk Mitigation,Promulgation,Certified Information Systems Security Professional,Consulting,Cyber Security Strategy,Cyber Defense,Security Policies,Computer Science,Certified In The Governance Of Enterprise IT,Certified Information Security Manager,Information Systems,Auditing,R (Programming Language)","Leadership,Stakeholder Management,Management"
698,698,Regional Information Security Officer (RISO) (Contract),3726291225,Robert Half,"Singapore, Singapore (On-site)",3,Mid-Senior level,Contract,Information Technology,Staffing and Recruiting,role security strategy development develop implement regional information security strategies aligned organizations overall security goals objectivesrisk assessment identify assess security risks specific region including threats vulnerabilities compliance requirementspolicy procedure management develop review enforce information security policies standards procedures tailored regional contextsecurity awareness training promote security awareness provide training employees stakeholders region ensure compliance security policies best practicesincident response develop maintain incident response plan specific region including procedures handling security incidents breachessecurity monitoring oversee implementation security monitoring tools practices detect respond security incidents realtimecompliance ensure organization adheres regional international regulatory requirements industry standards related information securitysecurity audits assessments coordinate participate security audits assessments penetration testing activities within regionvendor thirdparty risk management evaluate manage security risks associated thirdparty vendors partners operating regionsecurity technology evaluation stay uptodate emerging security technologies trends assess relevance potential implementation regional contextsecurity incident reporting report security incidents breaches appropriate authorities stakeholders required law organizational policysecurity governance collaborate organizations central information security office regional security officers ensure consistent cohesive security governance framework profile bachelors degree information security computer science related field masters degree plusprofessional certifications certified information systems security professional cissp certified information security manager cism certified information systems auditor cisa highly desirableseveral years experience information security focus security strategy risk management compliancestrong knowledge regional international information security laws regulationsexcellent communication interpersonal skills effectively engage regional teams stakeholdersanalytical problemsolving abilities assess mitigate security risksproject management skills oversee security initiatives within regionfamiliarity security tools technologies including intrusion detection systems firewalls siem solutions apply today please send resume word format quote reference number nv clicking apply button please note shortlisted candidates contacted robert half international pte ltd co registration e ea licence c ea registration rg,28-Sep-2023,Cybersecurity:Defining Requirements:Incident Management:Incident Reporting:Incident Response:Industry standards:Risk Assessment:Security Audits:Security Policy:Vulnerability,"Certified Information System Auditor (CISA),Incident Response,Security Awareness,Security Strategies,Interpersonal Communications,Communications,Incident Reporting,Penetration Testing,Problem Solving,Intrusion Detection Systems,Certified Information Systems Security Professional,Security Information And Event Management (SIEM),Certified Information Security Manager,Firewall,Vulnerability,Risk Management,Security Policies,Computer Science,Governance,Auditing,Management","Certified Information System Auditor (CISA),Incident Response,Security Awareness,Security Strategies,Interpersonal Communications,Incident Reporting,Penetration Testing,Intrusion Detection Systems,Certified Information Systems Security Professional,Security Information And Event Management (SIEM),Certified Information Security Manager,Firewall,Vulnerability,Security Policies,Computer Science,Governance,Auditing","Communications,Problem Solving,Risk Management,Management"
699,699,Information Security Officer- contract,3678860999,Page Personnel,"Singapore, Singapore (On-site)",15,Entry level,Contract,Information Technology,Information Technology & Services,good technology exposure growth opportunity client client local insurance company leading homegrown financial services company offering consumers better way financial freedom innovative technologyenabled solutions wide range products services provide consumers control financial wellbeing every stage lives job description key responsibility perform information business impact assessments security risk assessments business applications throughout development lifecycle sdlcagileiterative lifecyclereport information security issuesgaps appropriate recommendations mitigate andor remediate risk well assist corrective action plans provide subject matter expertise application development lifecycle assess security requirements controls ensure security controls implemented plannedpromote awareness information security policies standards best practices also program manager manage information security assessments operational kpikrisdrive improvement information security process standards policiesinterface risk internal audit external audit regulator andor provide timely support auditsestablish maintain relationships domain architects project managers smesdemonstrate good understanding singapore regulatory framework local laws information security technology risk data protection addition solid understanding iso nist csf mitre etcperform independent assessments technical security controls implemented within system determine overall effectiveness controls successful applicant successful canbdidate must good understanding information security control areas authenticationauthorization access controls entitlement cryptography encryption network applicationsystem security key management vulerablity management owasp sansknowledge sdlc agileiterative devopsdevsecops integration security assessment requiredexcellent written verbal communication skills exhibit strong influencingnegotiating skills attention detailswhats offer creative innovative workplaceopportunity learn growgood work culturecontact meenal sharma quote job ref jn brand mp,28-Jul-2023,DevSecOps:Information Security Management:Key Management:Key Performance Indicators:OWASP:Risk Assessment:Security:Security Audits:Security Controls:Security Risk,"Cryptography,Business Continuity Planning,Application Development,Project Management,Internal Auditing,External Auditing,Encryption,Program Management,Security Controls,Risk Analysis,Security Technology,Security Requirements Analysis,Key Management,Verbal Communication Skills,Information Privacy,Financial Services,NIST Cybersecurity Framework (CSF),Open Web Application Security Project (OWASP),Security Policies,Access Controls,Management,Systems Development Life Cycle,Innovation","Cryptography,Business Continuity Planning,Application Development,Internal Auditing,External Auditing,Encryption,Security Controls,Risk Analysis,Security Technology,Security Requirements Analysis,Information Privacy,Financial Services,NIST Cybersecurity Framework (CSF),Open Web Application Security Project (OWASP),Security Policies,Access Controls,Systems Development Life Cycle,Innovation","Project Management,Program Management,Key Management,Verbal Communication Skills,Management"
