,Job Title,Job URN,Company Name,Location,Applicants,Seniority,Employment type,Job function,Industries,Job description,Posted on,Skills,Extracted Skills
534,Network Security Administrator,3715485069,Wipro,"Singapore, Singapore (On-site)",183,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting,location singaporerolenetwork security administratorexperienceyrs job descriptionnetwork security administratorlnetwork experience extensive knowledge mutiple firewall productsimplementation management security toolsimplementation ipsec ssl vpn tunnelsquickly respond troubleshoot implement resolutions customer’s network security issuesproactively manage customer information security infrastructurenetwork security incident response investigationprovide active involvement meeting related network security change take owenership implementatiopn solutionconduct internal audits check compliance security devices taking nessary actions respective itemsimplement mange security product toolsexperience itil change incidentproblem management processprimary skills hands experience fortigatejuniper srx netscreencheckpoint firewallshand experience tipping point ips smshandson experience f load balancer proxyjuniper pulse ssl ipsec vpn gatewayexperience mcafee proxy microsoft isa load balancer reverse proxystress actividentity strong authenticationknowledge experience internetwork routing architectures underlying network security technologiesgood problem analysis skillsgood communication skills secondary skillsf escalations vendor management handling skillsg itil process awareness knowledge process flows definitionsh skills template creation presentation documentationi skills network management tools implementationj knowledge project management assisting infrastructure projects certificationsany firewall loadbalancer proxy certification prefered,13-Sep-2023,Checkpoint:Firewalls:IPS:IPSec:ITIL Process:Juniper Networks Products:Network Administration:Network Security:Security Incident Response:Virtual Private Network (VPN),"Firewall,Vendor Management,Virtual Private Networks (VPN),Incident Response,Network Security,Internet Protocol Security (IP SEC),Project Management,Information Technology Infrastructure Library,Security Devices,Microsoft Forefront Threat Management Gateway,Network Routing,Management,Problem Solving,Communications,Troubleshooting (Problem Solving),Auditing"
535,Information Security Risk Manager,3720039837,ERGO INSURANCE PTE. LTD.,"Singapore, Singapore (Hybrid)",7,Mid-Senior level,Full-time,Finance:Sales,,seeking highlymotivated individuals professional experience join team information security risk manager risk management ergo insurance pte ltd registered general insurer regulated monetary authority singapore wholly owned singapore subsidiary ergo group ag one major insurance groups germany europe primary insurance arm munich one leading reinsurers risk carriers worldwide wwwergocomsg countless good reasons pick ergo employer matter career offer various development opportunities departments levels you’ll experience fair openminded culture every employee trusted valued support career path professional development central part philosophy give staff opportunity develop personally professionally strong passion succeed aspire join company offer interesting diverse career look forward meeting requirements successful role possess following experience knowledge skills degree information security computer science preferred years relevant work experience information security officer auditor etcindustry qualifications crisc cissp cisa cobit itil would advantagefamiliarity applicable information security regulations singapore eg mas trm guidelines would advantageexperience working multitude stakeholders teams job description information security risk management work stakeholders implement ergo group information security frameworks company including related policies guidelines guidance ergo group’s information security teamconduct gap analysis group framework singapore regulatory requirements work first line close gapssupport identification assessment prioritization information security threats work relevant stakeholders improve controlsconductreview security risk assessments provide guidance asset owners terms protection needs analysis liaison ensure protections implementedprepare regular updates management segment group’s ciso information security risks mitigation actions progress security measures implementation key information security incidents risk assessmentsassess challenge first lineofdefense’s measures activities participate firstline projects necessary provide secondlineofdefence oversightwork first line defence coordinate support internal external information securityrelated auditsbe information security risk manager company management risks align topics around business continuity management business impact analysis business continuity plan assist update review documents including participating organising developing part business crisis team case information security incidentassist development bcp tests exercises attestationsbe part risk management function work chief risk officer risk topics required contact career ergocomsg,14-Sep-2023,,"Mitigation,Certified Information System Auditor (CISA),Gap Analysis,Open Mindset,Business Continuity Planning,Risk Analysis,Certified In Risk And Information Systems Control,Risk Management,Certified Information Systems Security Professional,Information Technology Infrastructure Library,Control Objectives For Information And Related Technology (COBIT),Needs Assessment,Computer Science,Auditing,Prioritization,Management"
536,"VP, Cyber Security, SecOps - Banking",3730007476,IOT SPECIALIST RECRUITMENT PTE. LTD.,"Singapore, Singapore (On-site)",2,Executive,Full-time,Other:Information Technology:Management,,working global bank looking seasoned cyber security professional part team requirements align balance business requirements cybersecurity information technology requirementscoordinate teams departments implement cybersecurity protection measures frameworksrevise maintain internal cybersecurity policies procedures alignment head office local authorities guidelinesproactively mitigate potential cyberattacks introduce monitoring systems edr splunk cyberarkperform regular vapt detect vulnerabilities earlyassist creating implementing cybersecurity training programssupport section head responding authorities external audit fieldworkhelp establish cyber threat response team robust cybersecurity response frameworkcontribute annual section plan including audit vapt tvra notice awarenessprovide guidance team members daytoday operationsperform tasks assigned section head management requirements bachelors degreeminimum years experience cybersecurity information security within banking environmentcertification cissp cybersecurity subject matter expertproficiency cybersecurity tools operationsexpertise security risks security posture framework creation cybersecurity training planning plusstrong situational awareness ability build consensus among stakeholders,29-Sep-2023,,"Planning,Cyber Threat Intelligence,Cyber Security,External Auditing,Splunk,Business Requirements,Certified Information Systems Security Professional,Cyber Security Policies,Endpoint Detection And Response,Information Technology,Auditing,Management,Vulnerability"
537,Lead Consultant - IT Security,3705337998,NCS Group,"Singapore, Singapore (Hybrid)",131,Mid-Senior level,Full-time,Consulting:Information Technology:Analyst,IT Services and IT Consulting:Information Services:Business Consulting and Services,looking work adds value makes differencedo want use expertise create impactwith us you’ll able make happen ncs leading technology services firm operates across asia pacific region countries providing consulting digital services technology solutions believe harnessing power technology achieve extraordinary things creating lasting value impact communities partners people diverse workforce delivered largescale missioncritical multiplatform projects governments enterprises singapore apac region dowe drive passion harnessing technologywe bring people technology togetherwe advance communities transform industries we’re searching lead consultant security part diverse team talent ncs believe going beyond embodying excellence bringing people technology together like never would love conversation seek accomplish together performing following scope work security systems devices key client ncsit service managementit configuration managementcybersecurity incident managementit security managementit security compliance qa management following activities scope work service managementmonitor report slaskpis performance inscope systems according infrastructure domains clientliaise work directly client stakeholders ops managers andor contractors purpose services delivery operations supportmonitor update client operation concern andor compliance matters propose resolutionprovide monthly summary andor progress report systems health statuses risk status status crsr system problemconduct andor participate management update meetings operations service review audit management meetingreview reports infrastructure operations support os project teamsprovide leadership support os project teams audit drbcp backup recovery exercisepropose continuous improvement initiatives recommendations strengthen governance compliance increase efficiency work quality processesprepare management plan submit compilation client annually configuration managementpertaining client’s security systems devicesperiodically review asset inventory hardware software network equipment network attached equipment endpoints records maintained updated client appointed asset officermaintain oversight review obsolescence assets across infrastructureprepare submit reports client cybersecurity incident managementlead cybersecurity incident response plan manage stop damaging consequences cybersecurity incident remove threat restore affected systems serviceslead oversee conduct root cause analysis recommend solutions measures prevent recurring cybersecurity incidents client security managementable lead design develop implement manage enforce cybersecurity information security policies processesprovide advisory consultation smos various infrastructure domainsschedule security scan identified systems according policies verify vulnerability rectifications satisfactorily performedconduct security review system access administration patterns weekly report unusual suspicious activities smo head officetrack mitigate deploy patch security vulnerabilities accordingly stipulated timeline maintain oversight submit reports monthly basisescalate andor seek client’s acceptance approval assessed risks security compliance qa managementensure compliance status systems adheres applicable standards polices directives guidelinesdeclare review report compliance status smo head office annuallyduring audit exercise work stakeholders provide responses evidences auditors compliance related declarationsprovide rectification plan gaps foundprovide rectification plan issues arising auditseek waiver compliance whenever justifiableensure applicable standards policies directives guidelines deliverables quality assurance records filed kept date audit review purposeswork client system enhancement required policy changes audit requirements ncs groupwe aspire create extraordinary impact millions people every day believe building talentled delivery model enable best people lead support right structure processes tools ensure clients delivered top quality services want invest great work never done alone believe fostering collaborative work environment people different expertise talent come together provide opportunities people grow within organization clearly defined career tracks specializations ensuring talent people continuously deliver new value clients we’re make extraordinary happen find ncsco linkedin career site handle profiles highest level confidentiality,05-Sep-2023,Acceptance Testing:Configuration Management:Cybersecurity Incident Management:Cybersecurity Incident Response:Incident Management:Problem Solving:Quality Assurance:Security Compliance:System Configuration,"Audit Management,Root Cause Analysis,Security Systems,Operations Support Systems,Service Review,Cyber Security,Technology Solutions,Networking Hardware,Cyber Incident Response,Quality Assurance,Consulting,Security Policies,Vulnerability,Management,Operations,Governance,Multiplatform,Auditing,Leadership,Operating Systems,Safety Assurance"
538,"Intern - Forensic Technology, EDiscovery & Cyber Investigations (Winter 2023)",3721105583,EY,"Singapore, Singapore (On-site)",9,,Full-time,Information Technology,Financial Services,curiosity could help build world imagine ey you’ll chance build truly exceptional experience we’ll empower latest technology surround highperforming teams provide global scale diverse inclusive culture need discover full potential coaching training programs you’ll develop skillsets need stay relevant today future – building network colleagues mentors leaders journey ey beyond exceptional ey experience build opportunity next adventure awaits ey’s forensic technology team group technical specialists practice digital forensic investigations full life cycle edrm early stages data scoping collection processing analysis production reporting growing forensic technology team forms part forensic integrity services practice specializes forensic technology services encompassing digital forensics ediscovery since work diverse portfolio clients across industries expect take wide range technology challenges incident response forensic investigation litigation regulatory response ey privacy cyber response professionals assist organizations fight prepare complex cyberattacks forensic technology lab provides forensic technology infrastructure tools necessary accelerate factfinding process diverse scenarios key responsibilities supporting collection processing management large sets digital evidence form electronic communications documents records wide array information systemssupporting clients performing digital forensic analysis reporting forensic technology lab andor client site supporting investigations forensic ediscovery technology accelerate factfinding processsupporting innovation development documentation new procedures workflows digital forensic analysis ediscovery methodologiessupporting deployment ediscovery solutions existing future clients supporting production electronic records counsel client authorized third partiesassisting resolution client requests review stage ediscovery engagementusing range industry standard software perform custom solutions client requirements using problemsolving approach overcome unexpected issues technical operational assisting preparing documentation work working papers schedules reports delivered clients parties assist cyber response cyberattack investigations analyse artifacts obtained compromised machines determine root cause analysis skills attributes success desire constantly develop understanding clients’ industries identifying trends risks opportunities improvementunderstanding multiple technologies dispense knowledge leading practices enhance service deliveryability learn adapt complex situations regarding management analysis large data sets different environmentsdesire develop team constant coaching feedback knowledge opportunities growexperience complex investigations using techniques digital forensics log analysis ediscovery data analysis timeline creationability communicate technical events analysis technical nontechnical audiences understanding potential legal impactsfamiliarity threat intelligence applications within incident response forensic investigationsexperience malware analysis understanding attack techniquesexperience interpreting searching manipulating data within enterprise logging solutionsexperience working network host user activity data identifying anomaliesstrong knowledge host network cloud forensic process tools standards techniques log correlation analysis forensically handling electronic data knowledge computer security investigative processes malware identification analysisstrong knowledge cyber incident readiness cyber risk assessment development playbook simulation drills compromise assessment qualify role must background computer science cyber security related fieldsolid knowledge infrastructure security topics excellent documentation skills ability prioritize working multiple engagementsstrong problem solving analytical technical interpersonal skills ideally also achieved working towards digital forensics ediscovery related certifications ence cce ccfp gasf gcfe cfce ccme grem nuixor relativityrelated certificationsgse gcfa gcih gnfa oscp ceh chfi working knowledge tools encase cellebrite axiom oxygen forensicsexperience using ediscovery tools relativity nuix additional ediscovery platformsexperience evidence seizure chain custody data collection andor hostbased forensicsknowledge performing data collection cloud solutions aws azure gsuite andor office knowledge windows unix mac hostbased forensics mobile os’s command linesexperience response analysis tools encase forensic fresponse elk splunk wireshark aws monitoring system azure sentinel sift workstation ief volatility look interested people passion using technology solve problems looking strong technical skills – interested people nurture relationships – internal external – committed intimately understanding client’s needs looking become part community advisors make measurable difference across prestigious businesses around role application considered please upload resume transcript,22-Sep-2023,Client Requirements:Computer Forensics:Digital Forensics:Ethical Hacking:GCIH:IEF:Malware Analysis:Malware Detection:OSCP:Root Cause Analysis,"Azure Sentinel,GIAC Certifications,Forensic Sciences,Infrastructure Security,Log Analysis,Curiosity,Cyber Threat Intelligence,Coaching,Digital Forensics,Microsoft Azure,Correlation Analysis,EnCase (Digital Intelligence Software),Unix,Incident Response,Cyber Security,Certified Ethical Hacker,Computer Hacking Forensic Investigator,Interpersonal Communications,Data Manipulation,Splunk,GIAC Certified Forensics Analyst,Electronic Discovery,GIAC Certified Incident Handler,GIAC Certified Forensic Examiner,Malware Analysis,Offensive Security Certified Professional,Problem Solving,Certified Computer Examiner,Root Cause Analysis,Certified Cyber Forensics Professional,Malware Detection,Cellebrite (Digital Intelligence Software),GIAC Network Forensic Analyst,Nuix (eDiscovery Software),Google Workspace,GIAC Reverse Engineering Malware,Cyber Risk,Cloud Forensics,Computer Security,Wireshark,Computer Science,Certified Forensic Computer Examiner,Innovation,Amazon Web Services,Communications,Management,Operating Systems,Data Analysis,Data Collection,Lawsuits,Investigation,Workflow Management"
539,Digital/Cyber Security – Chief Cyber Security Officer (CCSO) / Business Development,3713878924,DXC Technology,"Singapore, Singapore (On-site)",42,Entry level,Full-time,Design:Art/Creative:Information Technology,IT Services and IT Consulting,job description dxc technology nysedxc brilliant people embrace change seize opportunities advance careers amplify customer success live countries speak multiple languages work customers almost every continent use power technology deliver mission critical services move world dxccom want able shape influence could next ideal role dxc security currently looking chief cyber security officer ccso engage customers potential customers throughout apac role focus driving broader market awareness relevance presence dxc ever changing expanding cyber security segment asia pacific market use experience knowledge voice dxc cyber security promoting brand promoting thought leadership spokesperson advocate dxc technology client stakeholder engagement – build maintain professional relationships key customer leadership ciso cro cto cxo etc oversee directly involved required consulting advisory managed services engagements provide leadership sales business development staff within security practice across apac communicate dxc cyber security services portfolio positioning value target marketclient analysts contribute ongoing security business planning strategy aligning current future market changes discuss security risk associated mitigation approachtechniques business context build influential relationships key industry leaders partners analyse develop present solutions ciso cxo level executives building strategy roadmap ccso expected assess recommend drive implementation security solutions effectively support client business objectives infrastructure information risk management provide mentoring new security delivery leads security compliance officers demonstrate truly independent advisory spirit committed client success unbiased trusted advisor capacity work closely account executives presales security solution staff within country regionally globally define solutions best align client objectives respond tender processes key skills required experience cyber security technology services within asia pacific market strong stakeholder management influencing skills sufficient technical expertise academic training knowledge information technology required provide comprehensive differentiated valuable level consulting advice client knowledge cyber security challenges regulatory environments relevant asia pacific market strong uptodate understanding managed security solutions security marketplace proven track record managed security services risk compliance professional services affinity relationships applicable suppliers check point microsoft palo alto networks tanium splunk cyberark etc desirable understand trends requirements security market inregion competitors ntt ibm fujitsu accenture etc experience distributorreseller channels capable work partners rd party solid grasp relevant legislation regulations frameworks eg nist pcidss client relationship skills ciso cxo level executives tier clients ability present complex ideas succinct yet compelling form creates urgency engage dxc cyber security solutioning ability leadcoordinate virtual teams members range functions skills reporting structures deliver comprehensive timely presales proposals excellent presentation skills experience delivering inspiring talks around complex technical subject matter strong leadership skills – experience building inspiring managing delivery across virtual matrixed teams years experience consultant advisor cyber security detailed understanding experience security information security security management previous ciso experience desired imperative cissp certification cismcisa crisc experience work senior security consultant experience presenting public events client meetings experience translating contractual security requirements deliverables benefits include limited dxc culture benefits dxc technology dedicated ‘putting people first’ offer competitive remuneration benefits training career opportunities culture demonstrates employees priority dxc university education assistance reward recognition staff referral program novated leasing health insurance discount program volunteer days emergency services apply skill set would like part culture rewards performance encourages ideas please press apply button submit resume,18-Sep-2023,Business Planning:Certified in Risk and Information Systems Control (CRISC):Cyber-security:Information Risk:Security Consulting:Security Management:Stakeholder Engagement:Technical Subject Matter:Thought Leadership:Translation,"Business Objectives,Stakeholder Engagement,Tanium (Endpoint Management Software),Cyber Security,Influencing Skills,Thought Leadership,Mentorship,Splunk,Leadership,Managed Services,Advocacy,Security Management,Certified In Risk And Information Systems Control,Presentations,Stakeholder Management,Security Requirements Analysis,Futures Exchange,IT Risk Management,Virtual Teams,CyberArk,Certified Information Systems Security Professional,Customer Success Management,Consulting,Business Planning,Portfolio Positioning,Payment Card Industry (PCI) Data Security Standards,Securities Market,Information Technology,Business Development,Sales,Presales,Mitigation"
540,Cybersecurity operation Manager / Lead,3728926562,Flintex Consulting Pte Ltd,"Singapore, Singapore (On-site)",2,Executive,Full-time,Management:Manufacturing,Nanotechnology Research,cybersecurity operation manager lead hands managing security solutions fw pam azure security stacks waf etc used client environment include incident response troubleshooting issue enhancing managed security solutions strategizing security solution roadmap technology implementation project management performing management reporting lead work team mentioned,27-Sep-2023,,"Incident Response,Azure Security,Management Reporting,Project Management,Cyber Security,Troubleshooting (Problem Solving)"
541,IT Specialist,3705679568,"Rapsodo Sports (Rapsodo, Inc.)","Singapore, Singapore (On-site)",159,Entry level,Full-time,Information Technology,Computers and Electronics Manufacturing,rapsodo sports technology company offices usa singapore turkey japan develop sports analytics products datadriven portable easytouse empower athletes skill levels analyse improve performance major league baseball star pitchers golf tour players athletes use rapsodo technology game across world trusted coaches players youths professionals rapsodo provides realtime insights alltime performancewe innovative focused rapidly growing continuously looking team players stop nothing deliver state art solutions part team rapsodowe seeking specialist part global team responsible managing policies procedures key responsibilities monitoring configuration wan lan connections devices monitoring firewall logs maintaining backups managing microsoft accounts licenses responsible hardware software assets inventory licenses troubleshoot install repair deployment workstations desktopslaptopsservers applying information security procedures practices infrastructure providing level support global service desk operations deploying configuring existing new business processes requirements minimum years relevant working experience creative solutionoriented open innovations constantly following technology sound understanding network internet access wan lan tcpip ssl firewalls vpns must experience macosipadosios devices must experience linux os devices ubuntu familiar microsoft administration experience setupconfiguration antivirus antispam applications experience backup process tools working knowledge requirements iso pdpa familiar business process management corporate procedures,06-Sep-2023,Anti-spam:Antivirus:Firewalls:ISO 27001:ISO Standards:Linux:Microsoft 365:Transport Layer Security (TLS):Ubuntu:iOS,"Firewall,Business Process Management,Business Process,TCP/IP,Wide Area Networks,Linux,Ubuntu (Operating System),Anti-Spam Techniques,Sports Analytics,Backup Devices,Virtual Private Networks (VPN),Troubleshooting (Problem Solving),Operations,Innovation"
542,Cybersecurity operation Manager / Lead,3724942110,Flintex Consulting Pte Ltd,"Singapore, Singapore (On-site)",1,Executive,Full-time,Management:Manufacturing,Nanotechnology Research,cybersecurity operation manager lead hands managing security solutions fw pam azure security stacks waf etc used client environment include incident response troubleshooting issue enhancing managed security solutions strategizing security solution roadmap technology implementation project management performing management reporting lead work team mentioned,20-Sep-2023,,"Incident Response,Azure Security,Management Reporting,Project Management,Cyber Security,Troubleshooting (Problem Solving)"
543,"Network Specialist, Infrastructure Delivery",3648545085,Amazon Web Services (AWS),"Singapore, Singapore",295,,Full-time,Information Technology:Consulting:Engineering,"Software Development:IT Services and IT Consulting:Technology, Information and Internet",description looking hire highly motivated bestinclass network specialist network scaling integration join growing team within infrastructure operations candidate work minimum supervision dynamic environment drive stability sustainability nextgeneration networks develop innovative ways automate scale network expand position responsibilities include scaling support several data center locations responsible day day assistance capacity management network specialist work closely internal customers external vendors facilitate smooth project execution directed technical program managers ideal candidate highly autonomous detail oriented possesses strong written verbal communication skills significant experience supporting large scale enterprise class networks excellent network implementation troubleshooting skills combined proven documentation methodology also required strong written verbal communication skills ability interact efficiently peers customers required desire ability work fast paced collaborative environment essential addition providing toptier management support amazon’s vast network infrastructure network specialists expected build enhance tools develop best practices refine operational procedure constantly think proactively innovatively open hiring candidates work one following locations singapore sgp basic qualifications deliver simple sustainable repeatable solutions processes work closely network engineering network technical project manager teams ensure fast smooth rollout new designs products tcpip networking knowledge broad understanding infrastructure technologies knowledge network cabling optic types test equipment vfl power meter otdr experience cabling infrastructure best practices methodologies familiarity common networking terms manage work priorities ticketing system workflow collaborate various stake holders remove project obstacles troubleshoot networking routing inter connectivity issues including troubleshooting network device configuration low level application interaction troubleshooting cabling infrastructure connectivity issues including patch panels patch cords specifying power cooling requirements ensuring hardware rackingstacking completed new equipment complete customer requests via remedy trouble ticketing system participate migration basic configuration rollout new upgraded hardware preferred qualifications excellent analytical skills familiarity major internet routing protocols bgp ospf ethernet ip networking knowledge experience application ip protocols substantial background large scale datacenter network implementations support experience working virtualized enterprise networking environments knowledge awareness best practice frameworks itil cobit operational excellence concepts methodologies plus qualifications responsibilities experience dealing customers problem resolution operating efficiently pressure effective prioritization time management company amazon asiapacific resources private limited singapore job id,28-Sep-2023,Border Gateway Protocol (BGP):Cabling:Ethernet:IP Networking:Internet Protocol (IP):Knowledge Acquisition:Network Implementation:Networking:Optical Time-Domain Reflectometer (OTDR):Ticketing Systems,"Detail Oriented,Issue Tracking,Self-Motivation,IT Capacity Management,Analytical Skills,Operational Excellence,Networking Cables,TCP/IP,Patch Panels,Project Management,Network Engineering,Network Infrastructure,Network Troubleshooting,Border Gateway Protocol,Routing Protocols,Information Technology Infrastructure Library,Verbal Communication Skills,Open Shortest Path First (OSPF),Control Objectives For Information And Related Technology (COBIT),Test Equipment,Network Administration,Project Implementation,Network Routing,Troubleshooting (Problem Solving),Prioritization,Problem Solving,Time Management,Innovation,Management,Operations,Optical Time-Domain Reflectometer,Workflow Management"
544,Senior Pre-sales Architect (Financial Risk Control & Security),3658002867,Tencent,"Singapore, Singapore (On-site)",32,Mid-Senior level,Full-time,Information Technology:Consulting:Business Development,IT Services and IT Consulting:Banking:Financial Services,tencent worldleading internet technology company develops innovative products services improve quality life people around world founded headquarters shenzhen china guiding principle use technology good cloud smart industries group csig responsible promoting companys cloud industry internet strategy csig explores interactions users industries create innovative solutions smart industries via technological advancements cloud ai network security driving digitalization retail medical education transportation industries csig helps companies serve users smarter ways building new ecosystem intelligent industries connect users businesses position overviewwith strong business growth globally looking cloud security architect financial risk control join fast growing tencent cloud business singapore heshe presales cycle commercialise financial risk control security products banking fintech industries across southeastasia product overview risk control platform rcp onestop intelligent risk control solution based tencents intelligent risk control technology antifraud capabilities combined successful financial service infrastructure output experience helps clients establish smart risk control system platform necessary business platform provides realtime centralized intelligent risk management services integrating modules data collection data cleansing feature processing rule models toplevel scenarios forms endtoend service platform aligns realworld risk control scenarios responsibilitiesstrong familiarity financial risk control antifraud security products experience bb presales cycle capable designing expanding bb products commercial purposeswork closely clients across southeastasia region analysing testing financial risk control antifraud security products gathering requirements local market end users conducting research analysis continuously optimizing products solutions enhancing core competitivenessown presales cycle commercialise financial risk control security products banking fintech industries across southeastasia accountable revenue kpi results qualificationsbachelors degree computer science equivalentsat least years relevant presales consulting experience managing credit risk control security products across southeastasian financial industrypossess strong market sense industry experience excellent ability integrate information organize logic refine viewpoints effectively drive internal external conversations towards common goalsexcellent communications skills english chinese mandarin due needs driving product discussions clienteles china headquarterspersonal attributes enthusiastic responsible good coordination skills spirit teamwork openminded diversity equity inclusion tencentdiversity equity inclusion important interdependent components workplace equal opportunity employer firmly believe diverse voices fuel innovation allow us better serve users community foster environment every employee tencent feels supported inspired achieve individual common goals,18-Aug-2023,Chinese:Communication:English:Finance:Financial Risk Management:Mandarin:Organization Skills:Presales:Risk Control:Teamwork,"Key Performance Indicators (KPIs),Enthusiasm,Financial Services,Credit Risk,Computing Platforms,Open Mindset,Risk Control,Financial Technology (FinTech),Financial Risk,Network Security,Data Cleansing,Cloud Security,Internet Strategy,Consulting,Risk Management,Teamwork,Computer Science,Innovation,Research,Data Collection,Presales,Coordinating,Communications,Mandarin Chinese,English Language,Artificial Intelligence"
545,IT Project Manager ( Cybersecurity),3708570118,PCCW SOLUTIONS INSYS PTE. LTD.,"Singapore, Singapore (On-site)",3,Mid-Senior level,Full-time,Project Management:Information Technology,,lenovo pccw solutions subsidiary pccw insys leading technology solutions powerhouse asia pacific strategic partnership formed lenovo pccw august company offers marketleading solutions help organizations transform operations increase competitiveness enhance innovation technology wide range technology solutions service offerings include system integration application development operation outsourcing managed services digital solutions technical services job responsibilities project deliverables ensuring projects delivered ontime within scope within budget developing project scopes objectives involving relevant stakeholders ensuring technical feasibilitygather analyze plan requirements standards reference scheduled projects project management develop detailed project plan track progressuse appropriate verification techniques manage changes project scope schedule costsmeasure project performance using appropriate systems tools techniquesmanage project issues escalationmanage relationship client stakeholdersperform risk management minimize project risksestablish maintain relationships third partiesvendorscreate maintain comprehensive project documentation job requirements strong experience managing projects public sectorproject management stages initiation till operation handoverinfrastructure typed project management secondary skillsexperience handling project management cybersecurity conduct compliance audit good exposure cybersecurity solutions years experiences work team internally externally vendor resourcesexcellent communication written skillsable handle multiple projects concurrently,06-Aug-2023,,"Project Documentation,Project Planning,Application Development,Project Management,Technical Services,Communications,Managed Services,Strategic Partnership,Project Performance,Cyber Security,Technology Solutions,Project Scoping,Risk Management,Quality Auditing,Operations,Systems Integration,Outsourcing,Management,Innovation"
546,Cybersecurity Backend Application Developer,3728021817,MicroSec,"Singapore, Singapore (Hybrid)",3,Entry level,Full-time,Engineering:Information Technology,Computer and Network Security,safeguard future iot microsec building cyberdefense technology protect future iot looking challenging interesting role part microsec journey microsec singapore looking talented python backend developer successful applicants responsible developing microsec’s iot cybersecurity products follow agile scrum methodologies establish needs product owners help selforganization development team guide junior team members broad range problems solve data visualization cryptographic implementations iot communication machine learning prerequisite least years experience python relevant frameworks django flask excellent track record writing multithreaded programs database migrationat least years experience development linuxbased platformsat least years experience libraries services including sqlalchemy rabbitmq postgresql influxdbdevops experience secure continuous integration deploymentexperience implementing rest apis specifications written openapi swagger postmanexperience debugging networklevel interfaces via wireshark nmap etcexperience working docker docker swarm kubernetes git cicdexperience openssl tls configurations public key infrastructureworking experience socket programming tcpudp network interfaces lowlevel kernel interfaces system io calls systemd servicesexperience databases different types sql timeseries keyvalue storesa history working within agile environment either scrum similar focus responsible customerfocused deliveryability clearly document work welldefined specifications code comments user developerguidesa broad portfolio algorithms languages paradigms demonstrating ability learn integrate new technologies concepts quickly optional frameworks angulargrafana protocols tcpip stackmqtt iot protocolssnmp skills scrum masterunit testing integration testingux design enhancementinteracting cryptokey hsmdebugging code systemlevel issues microservice wholecloud,26-Sep-2023,InfluxDB:Linux:OpenSSL:PKI:PostgreSQL:RabbitMQ:SQL:SQLAlchemy:Skill Development:Transport Layer Security (TLS),"Debugging,Cryptography,PostgreSQL,Docker (Software),Git (Version Control System),Kubernetes,Docker Swarm,Scrum (Software Development),Public Key Cryptography,TCP/IP,Algorithms,SQLAlchemy,Communications,Python (Programming Language),RESTful API,Socket Programming,Django (Web Framework),Nmap,Continuous Integration,Machine Learning,OpenAPI,SQL (Programming Language),Cyber Security,Swagger UI,Microservices,RabbitMQ,Code Comments,Wireshark,Data Visualization,Flask (Web Framework),Agile Methodology,Input/Output,Internet Of Things (IoT)"
547,Information Technology Specialist,3722243820,Big Tiny Pte Ltd,Singapore (Hybrid),121,,Full-time,,,propose prepare technical requirements new related project collaborate project stakeholders understand requirements prepare technical requirements prepare user acceptance test documentations improve enhance existing website wwwtinyawaycom built react language internal working platform fix bugs highlighted guests colleagues propose execute enhancements requirements must possess strong understanding aws react,16-Sep-2023,Amazon Web Services (AWS):React.js:Technical Requirements,"User Acceptance Testing (UAT),Project Stakeholders,React.js (Javascript Library)"
